 'PKX',0.001162647,Beijing Daxing International Airport,
 'GVA',0.00115488,Geneva Cointrin International Airport,
 'AGP',0.001154355,M?laga Airport,
 'WAW',0.00113624,Warsaw Chopin Airport,
 'CKG',0.001134013,Chongqing Jiangbei International Airport,
 'KIX',0.001129209,Kansai International Airport,
 'POM',0.001125433,Port Moresby Jacksons International Airport,
 'AUH',0.001121659,Abu Dhabi International Airport,
 'SHJ',0.001118966,Sharjah International Airport,
 'CAI',0.00111207,Cairo International Airport,
 'WUH',0.00111189,Wuhan Tianhe International Airport,
 'CCS',0.00110215,Sim?n Bol?var International Airport,
 'LGA',0.001099171,La Guardia Airport,
 'TLV',0.001098833,Ben Gurion International Airport,
 'ALC',0.001091707,Alicante International Airport,
 'OVB',0.001088822,Tolmachevo Airport,
 'DMK',0.001078045,Don Mueang International Airport,
 'BSB',0.001073933,Presidente Juscelino Kubistschek International Airport,
 'XMN',0.001073107,Xiamen Gaoqi International Airport,
 'SGN',0.001060209,Tan Son Nhat International Airport,
 'ALG',0.001059459,Houari Boumediene Airport,
 'LPA',0.001058624,Gran Canaria Airport,
 'THR',0.001050723,Mehrabad International Airport,
 'STR',0.001049162,Stuttgart Airport,
 'NKG',0.001043495,Nanjing Lukou Airport,
 'PDX',0.001040291,Portland International Airport,
 'CSX',0.001033925,Changsha Huanghua International Airport,
 'CGN',0.001028806,Cologne Bonn Airport,
 'HGH',0.001028277,Hangzhou Xiaoshan International Airport,
 'HAM',0.001024163,Hamburg Airport,
 'DPS',0.001012821,Ngurah Rai (Bali) International Airport,
 'STL',0.001009822,St Louis Lambert International Airport,
 'JNU',0.001009508,Juneau International Airport,
 'SJO',0.001004926,Juan Santamaria International Airport,
 'MDW',0.00098845,Chicago Midway International Airport,
 'MRS',0.000987506,Marseille Provence Airport,
 'TPA',0.000979886,Tampa International Airport,
 'KTN',0.000975576,Ketchikan International Airport,
 'EZE',0.000974409,Ministro Pistarini International Airport,
 'NCE',0.000964394,Nice-C?te d'Azur Airport,
 'LYS',0.000962665,Lyon Saint-Exup?ry Airport,
 'CGO',0.000962362,Zhengzhou Xinzheng International Airport,
 'BWI',0.000952915,Baltimore/Washington International Thurgood Marshall Airport,
 'TFS',0.000951192,Tenerife South Airport,
 'EDI',0.000922753,Edinburgh Airport,
 'HRB',0.000921047,Taiping Airport,
 'VLI',0.000917853,Bauerfield International Airport,
 'TAO',0.000899232,Liuting Airport,
 'HIR',0.000897256,Honiara International Airport,
 'OME',0.000892543,Nome Airport,
 'DLC',0.000888983,Zhoushuizi Airport,
 'CLE',0.000881532,Cleveland Hopkins International Airport,
 'OTZ',0.000878755,Ralph Wien Memorial Airport,
 'GIG',0.000876678,Rio Gale?o ? Tom Jobim International Airport,
 'ADL',0.000875091,Adelaide International Airport,
 'BHX',0.000871003,Birmingham International Airport,
 'HAN',0.000865829,Noi Bai International Airport,
 'HNL',0.000864692,Daniel K Inouye International Airport,
 'SVX',0.000863589,Koltsovo Airport,
 'ESB',0.000863112,Esenboga International Airport,
 'NAS',0.000862462,Lynden Pindling International Airport,
 'BGY',0.000858822,Il Caravaggio International Airport,
 'CNS',0.000849684,Cairns International Airport,
 'OTP',0.000847461,Henri Coanda International Airport,
 'SAN',0.000845355,San Diego International Airport,
 'LAD',0.000836428,Quatro de Fevereiro Airport,
 'GEA',0.000835732,Noum?a Magenta Airport,
 'BUD',0.000821455,Budapest Liszt Ferenc International Airport,
 'SHE',0.000820677,Taoxian Airport,
 'AMM',0.000813055,Queen Alia International Airport,
 'LOS',0.000810038,Murtala Muhammed International Airport,
 'CRL',0.000809814,Brussels South Charleroi Airport,
 'GLA',0.000805324,Glasgow International Airport,
 'SJU',0.000804586,Luis Munoz Marin International Airport,
 'KBP',0.000801808,Boryspil International Airport,
 'LTN',0.000801484,London Luton Airport,
 'VCE',0.000795128,Venice Marco Polo Airport,
 'CEB',0.000792397,Mactan Cebu International Airport,
 'AKN',0.000785986,King Salmon Airport,
 'SXF',0.000784553,Berlin-Sch?nefeld Airport,
 'PUJ',0.000776963,Punta Cana International Airport,
 'YEG',0.000776489,Edmonton International Airport,
 'MHD',0.000771906,Mashhad International Airport,
 'URC',0.000770993,?r?mqi Diwopu International Airport,
 'AYT',0.000768271,Antalya International Airport,
 'MLA',0.000764522,Malta International Airport,
 'NGO',0.000762131,Chubu Centrair International Airport,
 'SHA',0.000759304,Shanghai Hongqiao International Airport,
 'YZF',0.000758077,Yellowknife Airport,
 'NAN',0.000742053,Nadi International Airport,
 'TSN',0.000741355,Tianjin Binhai International Airport,
 'SFB',0.000737972,Orlando Sanford International Airport,
 'CGH',0.000737466,Congonhas Airport,
 'CCU',0.00073688,Netaji Subhash Chandra Bose International Airport,
 'CTS',0.000732259,New Chitose Airport,
 'NNG',0.000729311,Nanning Wuxu Airport,
 'CMB',0.000725878,Bandaranaike International Colombo Airport,
 'POA',0.000723477,Salgado Filho Airport,
 'JUV',0.000715869,Upernavik Airport,
 'BNA',0.000713744,Nashville International Airport,
 'KRK',0.000713156,Krak?w John Paul II International Airport,
 'OPO',0.000712931,Francisco de S? Carneiro Airport,
 'TUN',0.000709382,Tunis Carthage International Airport,
 'COR',0.000709016,Ingeniero Ambrosio Taravella Airport,
 'SSA',0.000707131,Deputado Luiz Eduardo Magalh?es International Airport,
 'FIH',0.000705691,Ndjili International Airport,
 'FUK',0.000703396,Fukuoka Airport,
 'HAV',0.000702776,Jos? Mart? International Airport,
 'UIO',0.000702769,Mariscal Sucre International Airport,
 'UPG',0.000701408,Hasanuddin International Airport,
 'KWI',0.00070052,Kuwait International Airport,
 'BSL',0.000700012,EuroAirport Basel-Mulhouse-Freiburg Airport,
 'FOC',0.000699943,Fuzhou Changle International Airport,
 'MCT',0.000698765,Muscat International Airport,
 'KWE',0.000695577,Longdongbao Airport,
 'RIX',0.000695577,Riga International Airport,
 'LCA',0.000693955,Larnaca International Airport,
 'TAS',0.000691278,Tashkent International Airport,
 'TNA',0.00068838,Yaoqiang Airport,
 'WLG',0.000683065,Wellington International Airport,
 'BRS',0.000674309,Bristol Airport,
 'HAK',0.000672011,Haikou Meilan International Airport,
 'BLQ',0.00066822,Bologna Guglielmo Marconi Airport,
 'RGN',0.00066514,Yangon International Airport,
 'SJW',0.00065989,Shijiazhuang Daguocun International Airport,
 'BGO',0.000656653,Bergen Airport Flesland,
 'CVG',0.00065309,Cincinnati Northern Kentucky International Airport,
 'KTM',0.000650073,Tribhuvan International Airport,
 'ABV',0.000647716,Nnamdi Azikiwe International Airport,
 'CNF',0.000644142,Tancredo Neves International Airport,
 'LUX',0.000641882,Luxembourg-Findel International Airport,
 'SKG',0.000639238,Thessaloniki Macedonia International Airport,
 'FAO',0.000636627,Faro Airport,
 'GDL',0.000636214,Don Miguel Hidalgo Y Costilla International Airport,
 'AUS',0.000633166,Austin Bergstrom International Airport,
 'DMM',0.000632472,King Fahd International Airport,
 'CHC',0.000631717,Christchurch International Airport,
 'CPT',0.000630474,Cape Town International Airport,
 'TLS',0.000627516,Toulouse-Blagnac Airport,
 'YNT',0.000626193,Yantai Laishan Airport,
 'BLR',0.000624349,Kempegowda International Airport,
 'ALA',0.000620991,Almaty Airport,
 'IKT',0.000618373,Irkutsk Airport,
 'MED',0.00061836,Prince Mohammad Bin Abdulaziz Airport,
 'YHZ',0.000618076,Halifax / Stanfield International Airport,
 'NTE',0.00061595,Nantes Atlantique Airport,
 'RAK',0.000614563,Menara Airport,
 'UMD',0.000612135,Uummannaq Heliport,
 'VLC',0.00061145,Valencia Airport,
 'YXL',0.000608898,Sioux Lookout Airport,
 'FUE',0.000606566,Fuerteventura Airport,
 'ACE',0.00060563,Lanzarote Airport,
 'ADB',0.00060522,Adnan Menderes International Airport,
 'KHI',0.000601432,Jinnah International Airport,
 'GOT',0.000599391,Gothenburg-Landvetter Airport,
 'LPB',0.000599013,El Alto International Airport,
